"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"circ_0086414","lung adenocarcinoma","qPCR","down-regulated","","","","30777071","details","","","","",""
"circ_0087862","non small cell lung cancer","qPCR, RIP, western blotting","up-regulated","","","","32308420","details","","","","",""
"circ_010253","non small cell lung cancer","qPCR, RNAi, Microarray, other","up-regulated","","","","31949836","details","","","","",""
"circ_0102533","non small cell lung cancer","RT-qPCR, Small interfering RNA transfection, CCK-8, Flow cytometry for apoptosis, Caspase-3 activity assay","up-regulated","","","","31949836","details","","","","",""
"circ_0109320","non small cell lung cancer","qRT-PCR , RNase R treatment , circRNA Microarray","up-regulated","","","","31285870","details","","","","",""
"circ_012515","non small cell lung cancer","qPCR","up-regulated","","","","32210630","details","","","","",""
"circ_100395","lung cancer","MTT assay, Transwell assay, RNA pulldown, qRT-PCR, RNA-FISH, Luciferase reporter assay, In vivo assay","down-regulated","","","","30176158","details","","","","",""
"circ_100395","Lung Cancer","qPCR, luciferase reporter assay, RNAi, other","down-regulated","","","","30176158","details","","","","",""
"circ_102231","Lung Cancer","qPCR, other","up-regulated","","","","29602132","details","","","","",""
"circ_103762","non small cell lung cancer","qPCR","up-regulated","","","","32118311","details","","","","",""
"circ_103809","Lung Cancer","qPCR, luciferase reporter assay, other","up-regulated","","","","29698681","details","","","","",""
"circ_11780","non small cell lung cancer","qPCR, cell counting kit-8 (CCK-8) and flow cytometry","down-regulated","","","","32158226","details","","","","",""
"circ_401977","Lung Adenocarcinoma","qPCR","down-regulated","","","","29241190","details","","","","",""
"circ_404833","Lung Adenocarcinoma","qPCR","up-regulated","","","","29241190","details","","","","",""
"circ_406483","Lung Adenocarcinoma","qPCR","up-regulated","","","","29241190","details","","","","",""
"circ_EPB41L2","lung adenocarcinoma","qPCR, Western blotting","down-regulated","","","","32329852","details","","","","",""
"circ_RAD23B","non small cell lung cancer","qPCR, luciferase reporter assay","up-regulated","","","","30722989","details","","","","",""
