"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"RMRP","lung adenocarcinoma","qPCR, Cell transfection, Western blot etc.","up-regulated","","","","27906963","details","","","","",""
"RMRP","lung cancer","qPCR etc.","differential expression","","","","29872497","details","","","","",""
"RNA00887","non small cell lung cancer","qPCR, RNAi","up-regulated","","","","31322230","details","","","","",""
"RNPC1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.","down-regulated","","","","29288351","details","","","","",""
"ROR1-AS1","lung adenocarcinoma","RT-qPCR, Western blot, RIP","up-regulated","","","","31983094","details","","","","",""
"RP1-317E23.3","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25394782","details","","","","",""
"RP1-90D4.3","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RP11-181G12.2","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP11-1C1.7","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RP11-284F21.7","lung cancer","qPCR","differential expression","","","","28959951","details","","","","",""
"RP11-305O4.1","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP11-325I22.2","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25085781","details","","","","",""
"RP11-345L23.1","lung cancer","qPCR","differential expression","","","","28959951","details","","","","",""
"RP11-385J1.2","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","25394782","details","","","","",""
"RP11-397D12.4","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","26393913","details","","","","",""
"RP11-445K13.2","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RP11-44I10.5","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP11-473M20.11","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RP11-50B3.2","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","26857641","details","","","","",""
"RP11-60H5.1","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP11-680F20.5","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP11-713B9.1","non small cell lung cancer","qPCR","down-regulated","","","","28765887","details","","","","",""
"RP11-838N2.4","non small cell lung cancer","Microarray, qPCR, Western blot etc.","up-regulated","","","","29845246","details","","","","",""
"RP11-838N2.4","non small cell lung cancer","Microarray, qPCR, Western blot, in vitro knockdown","up-regulated","","","","29845246","details","","","","",""
"RP11-893F2.6","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25089627","details","","","","",""
"RP11-89K21.1","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","26857641","details","","","","",""
"RP11-8L2.1","lung cancer","Microarray, qPCR etc.","down-regulated","","","","28119085","details","","","","",""
"RP11-909N17.3","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25089627","details","","","","",""
"RP11-909N17.3","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","25394782","details","","","","",""
"RP11-94C24.10","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP11-982M15.2","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"RP13-39P12.2","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","26857641","details","","","","",""
"RP13-514E23.1","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RP3-323P13.2","lung squamous cell carcinoma","Microarray, qPCR etc.","down-regulated","","","","26159226","details","","","","",""
"RP3-508I15.14","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","down-regulated","","","","23741487","details","","","","",""
"RP4-575N6.5","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RP5-826L7.1","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RPLP0P2","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"RPLP0P2","lung adenocarcinoma","qPCR, Cell transfection, Cell migration and invasion assay etc.","down-regulated","","","","27460542","details","","","","",""
"RUNXOR","lung cancer","qPCR, in vitro knockdown","up-regulated","","","","29914443","details","","","","",""
"RUNXOR","lung cancer","qPCR","up-regulated","","","","29914443","details","","","","",""
"SBF2-AS1","non small cell lung cancer","qPCR, Western blot, luciferase reporter assay, knockdown etc.","up-regulated","","","","32364763","details","","","","",""
"SBF2-AS1","non small cell lung cancer","Dual luciferase reporter gene assay, Rt-qPCR, Western blot analysis","up-regulated","","","","31928130","details","","","","",""
"SBF2-AS1","lung adenocarcinoma","qRT-PCR , Luciferase reporter assay , RNA-seq , RIP , Western blot , in vitro knockdown etc.","up-regulated","","","","31071530","details","","","","",""
"SBF2-AS1","small cell lung cancer","qRT-PCR etc.","up-regulated","","","","31050364","details","","","","",""
"SBF2-AS1","lung adenocarcinoma","qPCR etc.","up-regulated","","","","26918601","details","","","","",""
"SBF2-AS1","non small cell lung cancer","qPCR etc.","up-regulated","","","","27460731","details","","","","",""
"SBF2-AS1","non small cell lung cancer","qPCR, RNAi, Western blot, RIP etc.","up-regulated","","","","27154193","details","","","","",""
"SCAL1","lung cancer","qPCR, Western blot, RIP etc.","up-regulated","","","","23672216","details","","","","",""
"SDPR-AS","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","31352804","details","","","","",""
"SFTA1P","lung squamous cell carcinoma","qPCR, Western blot etc.","up-regulated","","","","29228625","details","","","","",""
"SFTA1P","lung adenocarcinoma","qPCR, Cell transfection, Cell migration and invasion assay etc.","down-regulated","","","","28231733","details","","","","",""
"SIK1-lnc","lung cancer","qPCR, Western blot","down-regulated","","","","30050311","details","","","","",""
"Skp2","non small cell lung cancer","qPCR, Western blot etc.","differential expression","","","","26482610","details","","","","",""
"SLC16A1-AS1","non small cell lung cancer","Microarray, qPCR, vWestern blot","down-regulated","","","","31371390","details","","","","",""
"SLC9A3-AS1","lung cancer","qPCR","differential expression","","","","31336224","details","","","","",""
"SlncR1","non small cell lung cancer","qPCR, western blot","up-regulated","","","","31524254","details","","","","",""
"SNHG1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","31788970","details","","","","",""
"SNHG1","lung cancer","qPCR","up-regulated","","","","30098474","details","","","","",""
"SNHG1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31288529","details","","","","",""
"SNHG1","lung squamous cell carcinoma","qPCR, Western blot, RNAi","up-regulated","","","","28415044","details","","","","",""
"SNHG1","non small cell lung cancer","qRT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29466052","details","","","","",""
"SNHG1","non small cell lung cancer","qPCR, RNAi etc.","up-regulated","","","","25818744","details","","","","",""
"SNHG1","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.","up-regulated","","","","28147312","details","","","","",""
"SNHG1","lung cancer","qPCR etc.","differential expression","","","","29872497","details","","","","",""
"SNHG11","lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP etc.","up-regulated","","","","32239719","details","","","","",""
"SNHG12","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","30719111","details","","","","",""
"SNHG12","lung adenocarcinoma","qPCR","up-regulated","","","","28793054","details","","","","",""
"SNHG12","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","29137407","details","","","","",""
"SNHG14","non small cell lung cancer","RT-PCR","up-regulated","","","","32153123","details","","","","",""
"SNHG14","lung adenocarcinoma","RT-qPCR, Luciferase Reporter Gene Assay, RIP","up-regulated","","","","31858549","details","","","","",""
"SNHG14","non small cell lung cancer","qRT-PC, Luciferase reporter assay, RNAi, other","up-regulated","","","","30254102","details","","","","",""
"SNHG14","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31252267","details","","","","",""
"SNHG15","non small cell lung cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29771418","details","","","","",""
"SNHG15","non small cell lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","30840276","details","","","","",""
"SNHG15","lung cancer","qPCR, Luciferase Reporter Gene Assay, RNAi, other","up-regulated","","","","30402848","details","","","","",""
"SNHG15","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29630731","details","","","","",""
"SNHG15","non small cell lung cancer","qPCR, western blot","up-regulated","","","","29771418","details","","","","",""
"SNHG16","non small cell lung cancer","qRT-PCR, Dual luciferase reporter assay, Western blot","up-regulated","","","","31953899","details","","","","",""
"SNHG16","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, other","up-regulated","","","","30287374","details","","","","",""
"SNHG17","non small cell lung cancer","RNA-seq, qPCR, Western blot, RNAi","up-regulated","","","","31310946","details","","","","",""
"SNHG20","non small cell lung cancer","qPCR","up-regulated","","","","30780105","details","","","","",""
"SNHG20","non small cell lung cancer","qRT-PCR, Western blotting","up-regulated","","","","31957836","details","","","","",""
"SNHG20","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","28981099","details","","","","",""
"SNHG3","non small cell lung cancer","qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31602642","details","","","","",""
"SNHG3","Lung Adenocarcinoma","qPCR","up-regulated","","","","30154938","details","","","","",""
"SNHG4","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi","up-regulated","","","","31220419","details","","","","",""
"SNHG5","lung adenocarcinoma","Western blot, in vitro knockdown, Luciferase reporter assay, RNAi etc.","down-regulated","","","","29592872","details","","","","",""
"SNHG6","non small cell lung cancer","RT-PCR, Western blot","up-regulated","","","","32147945","details","","","","",""
"SNHG6","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32099396","details","","","","",""
"SNHG6","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, RNAi, other","up-regulated","","","","30257360","details","","","","",""
"SNHG7","lung adenocarcinoma","qPCR, Western blot, RIP, Luciferase reporter assay etc","down-regulated","","","","32201260","details","","","","",""
"SNHG7","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","31486493","details","","","","",""
"SNHG7","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","29131440","details","","","","",""
"SNHG7","lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.","up-regulated","","","","27666964","details","","","","",""
"SNHG8","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RNAi, other","up-regulated","","","","30275712","details","","","","",""
"SOX2-OT","lung squamous cell carcinoma","qRT-PCR , Western blot etc.","up-regulated","","","","30986097","details","","","","",""
"SOX21-AS1","lung adenocarcinoma","qPCR, Western blot etc.","up-regulated","","","","28873379","details","","","","",""
"SOX2OT","non small cell lung cancer","qRT-PCR","up-regulated","","","","31933793","details","","","","",""
"SOX2OT","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30214232","details","","","","",""
"SOX2OT","non small cell lung cancer","qPCR etc.","up-regulated","","","","29504701","details","","","","",""
"SOX2OT","lung squamous cell carcinoma","qPCR, RNAi, Western blot, RIP etc.","up-regulated","","","","24927902","details","","","","",""
"SOX2OT","lung squamous cell carcinoma","qPCR etc.","up-regulated","","","","20126410","details","","","","",""
"SOX2OT","non small cell lung cancer","qPCR, RNAi, Flow cytometry assay etc.","up-regulated","","","","26846097","details","","","","",""
"SPRY4-IT1","non small cell lung cancer","qPCR, Western blot etc.","down-regulated","","","","32308413","details","","","","",""
"SPRY4-IT1","lung adenocarcinoma","qPCR","up-regulated","","","","28881629","details","","","","",""
"SPRY4-IT1","non small cell lung cancer","qPCR, RNAi, Western blot, Flow cytometry assay etc.","down-regulated","","","","24967960","details","","","","",""
"SPRY4-IT1","lung adenocarcinoma","qPCR, Western blot, RIP","down-regulated","","","","28796375","details","","","","",""
"SRGAP3-AS2","lung adenocarcinoma","Microarray, qPCR","down-regulated","","","","30151992","details","","","","",""
"STEAP2-AS1","non small cell lung cancer","qPCR","up-regulated","","","","31638253","details","","","","",""
"SUMO1P3","non small cell lung cancer","qPCR","up-regulated","","","","30851548","details","","","","",""
"SVUGP2","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","31401873","details","","","","",""
"SYNPR-AS1","non small cell lung cancer","qPCR","up-regulated","","","","31638253","details","","","","",""
"TARID","lung cancer","Microarray, qPCR etc.","down-regulated","","","","28119085","details","","","","",""
"TATDN1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","30481109","details","","","","",""
"TATDN1","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","26943769","details","","","","",""
"TBILA","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32015683","details","","","","",""
"TBILA","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29908210","details","","","","",""
"TBULC","non small cell lung cancer","RT-qPCR","up-regulated","","","","31921623","details","","","","",""
"TCONS_00001798","non small cell lung cancer","qPCR etc.","down-regulated","","","","29564001","details","","","","",""
"TDRG1","non small cell lung cancer","qRT-PCR, RIP","up-regulated","","","","31742752","details","","","","",""
"TFPI2AS1","lung cancer","Microarray, qPCR, Western blot","up-regulated","","","","28933981","details","","","","",""
"THUMPD3-AS1","non small cell lung cancer","RT-PCR, Dual Luciferase Reporter Assay, Western blotting","up-regulated","","","","31819483","details","","","","",""
"TINCR","lung adenocarcinoma","qPCR, Luciferase reporter assay, etc.","down-regulated","","","","31497197","details","","","","",""
"TINCR","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP etc.","down-regulated","","","","29324317","details","","","","",""
"TINCR","non small cell lung cancer","Microarray, qPCR, RNAi, RIP etc.","up-regulated","","","","29427662","details","","","","",""
"TINCR","lung squamous cell carcinoma","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","27797003","details","","","","",""
"TINCR","lung adenocarcinoma","qPCR etc.","down-regulated","","","","26918601","details","","","","",""
"TINCR","lung adenocarcinoma","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","27797003","details","","","","",""
"TM4SF1-AS1","lung cancer","Microarray, qPCR etc.","down-regulated","","","","28119085","details","","","","",""
"TMPO-AS1","lung adenocarcinoma","RT-qPCR, Western blot","up-regulated","","","","32062549","details","","","","",""
"TMPO-AS1","non small cell lung cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","31230752","details","","","","",""
"TNK2-AS1","non small cell lung cancer","RIP, qPCR, other","up-regulated","","","","30454892","details","","","","",""
"TP53TG1","non small cell lung cancer","qPCR, Western blot, luciferase reporter assay, RIP, in vitro knockdown etc.","down-regulated","","","","29588850","details","","","","",""
"TP53TG1","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","down-regulated","","","","23741487","details","","","","",""
"TP73-AS1","lung adenocarcinoma","RT-PCR, Western blot","up-regulated","","","","32009796","details","","","","",""
"TP73-AS1","non small cell lung cancer","RT-PCR","up-regulated","","","","31749884","details","","","","",""
"TP73-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29803931","details","","","","",""
"TP73-AS1","non small cell lung cancer","qRT-PCR etc.","up-regulated","","","","31129247","details","","","","",""
"TP73-AS1","Lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30541897","details","","","","",""
"TP73-AS1","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25590602","details","","","","",""
"TP73-AS1","non small cell lung cancer","qPCR, Western blot, RIP, Luciferase reporter assay etc.","up-regulated","","","","29803931","details","","","","",""
"TPTEP1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","down-regulated","","","","32323798","details","","","","",""
"TRERNA1","non small cell lung cancer","qRT-PCR","up-regulated","","","","32096153","details","","","","",""
"TRHDE-AS1","lung cancer","Luciferase reporter assay , Western blot etc.","up-regulated","","","","31119790","details","","","","",""
"TRPM2-AS","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","28678322","details","","","","",""
"TRPM2-AS","non small cell lung cancer","qPCR, RNAi, Western blot, Flow cytometry assay, CCK-8 assay etc.","up-regulated","","","","28231726","details","","","","",""
"TSlnc8","non small cell lung cancer","qRT-PCR , Western blot etc.","down-regulated","","","","31601776","details","","","","",""
"TTN-AS1","lung adenocarcinoma","qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31173403","details","","","","",""
"TTN-AS1","lung adenocarcinoma","qRT-PCR, Western blotting, in vitro knockdown etc.","down-regulated","","","","31027732","details","","","","",""
"TTN-AS1","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31363080","details","","","","",""
"TTTY15","non small cell lung cancer","qPCR, Western blot, RIP","down-regulated","","","","31311130","details","","","","",""
"TUBA4B","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25394782","details","","","","",""
"TUBA4B","non small cell lung cancer","qPCR, Cell proliferation assay etc.","down-regulated","","","","27411923","details","","","","",""
"TUC338","lung cancer","qPCR, Western blot","up-regulated","","","","29424901","details","","","","",""
"TUG1","non small cell lung cancer","qPCR","down-regulated","","","","31532756","details","","","","",""
"TUG1","small cell lung cancer","qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell migration and invasion assay etc.","up-regulated","","","","28069000","details","","","","",""
"TUG1","non small cell lung cancer","RT-PCR, Western blot","up-regulated","","","","29277771","details","","","","",""
"TUG1","non small cell lung cancer","qPCR etc.","down-regulated","","","","28121347","details","","","","",""
"TUG1","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay etc.","down-regulated","","","","24853421","details","","","","",""
"TUG1","non small cell lung cancer","RNA-seq, qPCR, RIP, Cell proliferation assay etc.","down-regulated","","","","27485439","details","","","","",""
"TUSC7","non small cell lung cancer","qPCR etc.","down-regulated","","","","27158360","details","","","","",""
"uc.338","lung cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","up-regulated","","","","27712590","details","","","","",""
"uc.338","non small cell lung cancer","qPCR etc.","up-regulated","","","","29843223","details","","","","",""
"uc001gch.1","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"uc001gzl.3","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25758555","details","","","","",""
"uc001lsz","lung cancer","qPCR etc.","down-regulated","","","","24063685","details","","","","",""
"uc003bgl.1","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","up-regulated","","","","23741487","details","","","","",""
"uc004bbl.1","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"UC011CLY.2","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","28076325","details","","","","",""
"UCA1","lung cancer","qPCR, Western blot","down-regulated","","","","30001775","details","","","","",""
"UCA1","non small cell lung cancer","qPCR","up-regulated","","","","31938341","details","","","","",""
"UCA1","lung cancer","qPCR","up-regulated","","","","30918102","details","","","","",""
"UCA1","lung cancer","qPCR","up-regulated","","","","30868851","details","","","","",""
"UCA1","non small cell lung cancer","Western blotting, qRT-PCR, Luciferase Reporter Assay, RIP","up-regulated","","","","31951852","details","","","","",""
"UCA1","lung cancer","qPCR, RNAi, Western blot, other","up-regulated","","","","30468471","details","","","","",""
"UCA1","non small cell lung cancer","qPCR, Western blot, etc.","up-regulated","","","","30652341","details","","","","",""
"UCA1","lung cancer","qPCR, etc.","up-regulated","","","","30556875","details","","","","",""
"UCA1","lung adenocarcinoma","Microarray, qPCR","differential expression","","","","29279851","details","","","","",""
"UCA1","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","28040594","details","","","","",""
"UCA1","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi","up-regulated","","","","29355524","details","","","","",""
"UCA1","lung cancer","luciferase reporter assay, qPCR, western blot etc.","up-regulated","","","","28762326","details","","","","",""
"UCA1","lung cancer","qPCR etc.","up-regulated","","","","26380024","details","","","","",""
"UCA1","lung cancer","qPCR, Western blot, Northern blot, Flow cytometry assay etc.","up-regulated","","","","17416635","details","","","","",""
"UCA1","non small cell lung cancer","qPCR, Western blot, RIP, Luciferase reporter assay etc.","up-regulated","","","","26655272","details","","","","",""
"UCA1","non small cell lung cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","26160838","details","","","","",""
"UPAT","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","30008828","details","","","","",""
"UPAT","non small cell lung cancer","qRT-PCR, Western blot assay, luciferase reporter assay","up-regulated","","","","30008828","details","","","","",""
"VELUCT","lung cancer","RNA-seq, qPCR, RNAi, Northern blot etc.","differential expression","","","","28160600","details","","","","",""
"VMO1","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"VPS9D1-AS1","non small cell lung cancer","qPCR","up-regulated","","","","30119235","details","","","","",""
"WASIR2","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"WDFY3-AS2","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, RIP etc","up-regulated","","","","32275336","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29812958","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, RIP etc","up-regulated","","","","32209729","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","31553952","details","","","","",""
"XIST","lung adenocarcinoma","qRT-PCR, Dual luciferase reporter assay, RIP, Western blot analysis,","up-regulated","","","","31968395","details","","","","",""
"XIST","non small cell lung cancer","RT-qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31659146","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31292221","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31646569","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31632587","details","","","","",""
"XIST","lung adenocarcinoma","qPCR, Western blot, RNAi, Luciferase reporter assays etc.","up-regulated","","","","28961027","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","29130102","details","","","","",""
"XIST","non small cell lung cancer","qPCR etc.","up-regulated","","","","26339353","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, RNAi, RIP etc.","up-regulated","","","","29339211","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP etc.","up-regulated","","","","29337100","details","","","","",""
"XIST","non small cell lung cancer","qPCR, RNAi, Western blot, Cell migration and invasion assay, CCK-8 assay etc.","up-regulated","","","","28248928","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, RNAi, Luciferase reporter assay","up-regulated","","","","28448993","details","","","","",""
"XIST","non small cell lung cancer","qPCR, Western blot, RNA pull-down assay etc.","up-regulated","","","","27501756","details","","","","",""
"XIST","non small cell lung cancer","qPCR, western blot, Luciferase reporter assays etc.","up-regulated","","","","29812958","details","","","","",""
"XLOC_000371","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25394782","details","","","","",""
"XLOC_000575","lung adenocarcinoma","Microarray, qPCR","up-regulated","","","","25061321","details","","","","",""
"XLOC_002680","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"XLOC_003147","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","26857641","details","","","","",""
"XLOC_003286","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"XLOC_003405","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25089627","details","","","","",""
"XLOC_008466","non small cell lung cancer","qPCR, Western blot, RIP, Luciferase reporter assay etc.","up-regulated","","","","28501870","details","","","","",""
"XLOC_009167","lung cancer","qPCR","up-regulated","","","","30025752","details","","","","",""
"XLOC_009190","lung adenocarcinoma","RNA-seq","up-regulated","","","","31908488","details","","","","",""
"XLOC_012255","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"Z82214.3","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25394782","details","","","","",""
"ZEB1-AS1","non small cell lung cancer","qPCR","up-regulated","","","","31949753","details","","","","",""
"ZEB1-AS1","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot, other","up-regulated","","","","30448056","details","","","","",""
"ZEB1-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30626729","details","","","","",""
"ZEB2-AS1","non small cell lung cancer","qPCR, Western blot etc","up-regulated","","","","32329850","details","","","","",""
"ZEB2-AS1","non small cell lung cancer","qRT-PCR, Western blot analysis, RIP","up-regulated","","","","31695021","details","","","","",""
"ZEB2-AS1","lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","31497237","details","","","","",""
"ZEB2-AS1","lung cancer","Western blot, in vitro knockdown etc.","up-regulated","","","","29552161","details","","","","",""
"ZFAS1","non small cell lung cancer","qPCR","down-regulated","","","","29922089","details","","","","",""
"ZFAS1","non small cell lung cancer","qRT-PCR, Western blot analysis, Luciferase reporter assay","up-regulated","","","","31692094","details","","","","",""
"ZFAS1","non small cell lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","31378891","details","","","","",""
"ZFAS1","non small cell lung cancer","qPCR etc.","up-regulated","","","","28051258","details","","","","",""
"ZFAS1","non small cell lung cancer","qPCR, etc.","down-regulated","","","","29922089","details","","","","",""
"ZFPM2-AS","small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP etc.","up-regulated","","","","32280300","details","","","","",""
"ZFPM2-AS1","lung adenocarcinoma","qRT-PCR, Luciferase reporter assay, RIP, Western blot","up-regulated","","","","31919993","details","","","","",""
"ZFPM2-AS1","lung adenocarcinoma","qRT-PCR, Western blot analysis, Luciferase reporter assay, RIP","up-regulated","","","","31692047","details","","","","",""
"ZFPM2-AS1","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31297866","details","","","","",""
"ZNF205-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30556283","details","","","","",""
"ZNF295-AS1","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"ZNRD1-AS1","lung cancer","qPCR, Genotyping etc.","down-regulated","","","","27166266","details","","","","",""
"ZXF1","lung adenocarcinoma","qRT-PCR, Western blot","down-regulated","","","","32160453","details","","","","",""
"ZXF1","lung adenocarcinoma","Microarray, qPCR, RNAi etc.","up-regulated","","","","24721325","details","","","","",""
"ZXF2","lung adenocarcinoma","qPCR, RNAi, Western blot, Cell apoptosis assay etc.","up-regulated","","","","25896422","details","","","","",""
